1,2,3,4,5,6,7,8,9,10
0.452380952,0.448979592,0.482993197,0.554421769,0.469387755,0.605442177,0.585034014,0.540816327,0.551020408,0.557823129
0.56122449,0.510204082,0.503401361,0.496598639,0.469387755,0.527210884,0.598639456,0.574829932,0.472789116,0.659863946
0.445578231,0.425170068,0.578231293,0.496598639,0.673469388,0.489795918,0.476190476,0.571428571,0.476190476,0.479591837
0.56462585,0.724489796,0.537414966,0.537414966,0.659863946,0.517006803,0.646258503,0.534013605,0.544217687,0.598639456
0.476190476,0.401360544,0.421768707,0.428571429,0.571428571,0.496598639,0.717687075,0.496598639,0.530612245,0.595238095
0.56122449,0.452380952,0.421768707,0.605442177,0.571428571,0.605442177,0.806122449,0.537414966,0.571428571,0.646258503
0.469387755,0.452380952,0.523809524,0.629251701,0.517006803,0.605442177,0.925170068,0.598639456,0.513605442,0.319727891
0.469387755,0.462585034,0.537414966,0.602040816,0.700680272,0.595238095,0.75170068,0.43537415,0.608843537,0.482993197
0.469387755,0.462585034,0.394557823,0.602040816,0.520408163,0.551020408,0.670068027,0.523809524,0.585034014,0.544217687
0.489795918,0.465986395,0.394557823,0.656462585,0.520408163,0.462585034,0.649659864,0.578231293,0.619047619,0.574829932
0.551020408,0.465986395,0.673469388,0.469387755,0.408163265,0.493197279,0.744897959,0.649659864,0.598639456,0.421768707
0.469387755,0.829931973,0.554421769,0.421768707,0.496598639,0.537414966,0.530612245,0.408163265,0.568027211,0.295918367
0.544217687,0.455782313,0.510204082,0.693877551,0.462585034,0.503401361,0.632653061,0.462585034,0.523809524,0.306122449
0.527210884,0.455782313,0.459183673,0.69047619,0.37414966,0.738095238,0.605442177,0.476190476,0.527210884,0.370748299
0.602040816,0.605442177,0.459183673,0.578231293,0.380952381,0.43537415,0.588435374,0.530612245,0.472789116,0.397959184
0.455782313,0.595238095,0.442176871,0.632653061,0.568027211,0.43537415,0.676870748,0.602040816,0.37414966,0.43877551
0.455782313,0.595238095,0.455782313,0.486394558,0.469387755,0.571428571,0.554421769,0.486394558,0.411564626,0.431972789
0.510204082,0.489795918,0.442176871,0.462585034,0.598639456,0.513605442,0.578231293,0.472789116,0.486394558,0.482993197
0.510204082,0.568027211,0.43537415,0.442176871,0.656462585,0.62585034,0.523809524,0.564965986,0.605442177,0.663265306
0.503401361,0.568027211,0.554421769,0.472789116,0.472789116,0.462585034,0.537414966,0.520408163,0.496598639,0.659863946
0.653061224,0.479591837,0.43877551,0.523809524,0.489795918,0.69047619,0.537414966,0.591836735,0.510204082,0.421768707
0.479591837,0.544217687,0.476190476,0.394557823,0.489795918,0.69047619,0.598639456,0.571428571,0.544217687,0.571428571
0.445578231,0.544217687,0.445578231,0.527210884,0.680272109,0.69047619,0.56462585,0.551020408,0.544217687,0.425170068
